# station_name,lon,lat
函館,140.726413,41.773709
五稜郭,140.733539,41.803557
桔梗,140.722952,41.846457
大中山,140.71358,41.864641
七飯,140.688556,41.886971
新函館北斗,140.646525,41.9054
仁山,140.635183,41.930011
大沼,140.669347,41.971954
大沼公園,140.669758,41.980958
赤井川,140.642678,42.003267
駒ケ岳,140.610476,42.038809
鹿部,140.771393,42.06439
渡島沼尻,140.747596,42.10706
渡島砂原,140.689451,42.12164
掛澗,140.64598,42.119205
尾白内,140.613449,42.111232
東森,140.59353,42.106823
森(北海道),140.573846,42.108917
石倉,140.458436,42.17285
落部,140.420755,42.187617
野田生,140.37586,42.217104
山越,140.326593,42.231172
八雲,140.273342,42.253391
山崎(北海道),140.2746,42.314635
黒岩,140.288173,42.368296
国縫,140.320885,42.439319
中ノ沢,140.346077,42.477928
長万部,140.37507,42.512477
二股,140.320821,42.575869
黒松内,140.305704,42.669608
熱郛,140.375084,42.675653
目名,140.465742,42.761432
蘭越,140.52894,42.804542
昆布,140.596107,42.797984
ニセコ,140.684588,42.808746
比羅夫,140.722615,42.84856
倶知安,140.745471,42.90164
小沢,140.677657,42.97185
銀山,140.715321,43.040888
然別,140.737211,43.12551
仁木,140.770546,43.154091
余市,140.794686,43.186558
蘭島,140.854643,43.19651
塩谷,140.924546,43.202406
小樽,140.993653,43.197172
南小樽,141.007883,43.186529
小樽築港,141.029051,43.180752
朝里,141.063923,43.176868
銭函,141.159868,43.143403
ほしみ,141.191402,43.13373
星置,141.210856,43.132375
稲穂,141.222919,43.128115
手稲,141.243785,43.120238
稲積公園,141.257113,43.112023
発寒,141.277273,43.099819
発寒中央,141.294497,43.089271
琴似(函館本線),141.307418,43.081599
桑園,141.332036,43.070744
札幌,141.350768,43.068612
苗穂,141.377522,43.068574
白石(函館本線),141.413612,43.054715
厚別,141.46369,43.045154
森林公園(北海道),141.481332,43.056456
大麻,141.496925,43.072382
野幌,141.52984,43.092559
高砂(北海道),141.540752,43.100084
江別,141.55679,43.110189
豊幌,141.62466,43.136446
幌向,141.655839,43.151348
上幌向,141.715391,43.18183
岩見沢,141.759359,43.204201
峰延,141.814673,43.264694
光珠内,141.844655,43.292658
美唄,141.862157,43.330751
茶志内,141.87336,43.369842
奈井江,141.889115,43.423718
豊沼,141.901032,43.464224
砂川,141.909642,43.493468
滝川,141.900807,43.555278
江部乙,141.935937,43.627564
妹背牛,141.966591,43.690841
深川,142.041642,43.721021
納内,142.130072,43.732509
近文,142.325327,43.789193
旭川,142.357803,43.763492
静狩,140.460025,42.584065
小幌,140.537361,42.589731
礼文,140.595013,42.580422
大岸,140.639036,42.585969
豊浦,140.71536,42.580323
洞爺,140.763959,42.55055
有珠,140.793969,42.513267
長和,140.833783,42.488262
伊達紋別,140.855802,42.469395
北舟岡,140.880259,42.450528
稀府,140.898836,42.425567
黄金(北海道),140.907781,42.386441
崎守,140.927141,42.373968
本輪西,140.977561,42.358734
室蘭,140.97571,42.317864
母恋,140.990018,42.317295
御崎,140.993881,42.329014
輪西,141.005743,42.333775
東室蘭,141.026411,42.349374
鷲別,141.042759,42.35953
幌別,141.107293,42.409782
富浦(北海道),141.156878,42.441957
登別,141.180931,42.45207
虎杖浜,141.215092,42.464695
竹浦,141.260395,42.49284
北吉原,141.286199,42.509119
萩野,141.30603,42.521159
白老,141.360054,42.55474
社台,141.417433,42.578682
錦岡,141.48722,42.6025
糸井,141.546187,42.6225
青葉,141.568278,42.62999
苫小牧,141.596837,42.639665
沼ノ端,141.693132,42.672057
遠浅,141.769568,42.729533
早来,141.814106,42.765237
安平,141.825283,42.814007
追分(北海道),141.810678,42.873316
三川(北海道),141.800778,42.945029
古山,141.793969,42.975256
由仁,141.785868,43.012206
栗山,141.775603,43.058164
栗丘,141.744333,43.085444
栗沢,141.739743,43.120367
志文,141.744443,43.158903
東滝川,141.98031,43.574037
赤平,142.048669,43.555144
茂尻,142.082156,43.537314
平岸(根室本線),142.123872,43.541401
芦別,142.184543,43.516636
上芦別,142.210855,43.48871
野花南,142.261772,43.474418
富良野,142.391374,43.347114
布部,142.400595,43.291991
山部,142.381522,43.244645
下金山,142.415402,43.197328
金山(北海道),142.416201,43.136115
東鹿越,142.523472,43.164011
幾寅,142.569474,43.161582
落合(北海道),142.669104,43.125055
新得,142.832432,43.082501
十勝清水,142.879535,43.012892
御影(北海道),142.935739,42.942418
芽室,143.047991,42.909846
大成,143.0696659,42.91605619
西帯広,143.126351,42.923941
柏林台,143.1645,42.928877
帯広,143.20195,42.917997
札内,143.256248,42.912697
幕別,143.359293,42.90784
利別,143.424445,42.934706
池田(北海道),143.453033,42.922186
十弗,143.500797,42.855781
豊頃,143.538615,42.817548
新吉野,143.60826,42.778238
浦幌,143.651568,42.810849
厚内,143.814389,42.809539
音別,143.932442,42.888997
白糠,144.076879,42.956161
西庶路,144.129826,42.976138
庶路,144.150018,42.983601
大楽毛,144.273879,43.009078
新大楽毛,144.295558,43.009423
新富士,144.350758,43.001605
釧路,144.381983,42.990584
東釧路,144.411307,42.995207
武佐(北海道),144.426681,42.991364
別保,144.469596,42.994384
上尾幌,144.61239,43.032893
尾幌,144.703758,43.018463
門静,144.782638,43.057581
厚岸,144.841355,43.056248
茶内,145.02801,43.129266
浜中,145.099657,43.15754
姉別,145.194716,43.196201
厚床,145.252096,43.228224
別当賀,145.423593,43.218427
落石,145.519449,43.198335
昆布盛,145.542444,43.228593
西和田,145.541817,43.268043
東根室,145.597234,43.323655
根室,145.582707,43.326923
植苗,141.735344,42.713645
新千歳空港,141.680823,42.787546
南千歳,141.675388,42.80804
千歳(北海道),141.651934,42.82811
長都,141.622987,42.852178
サッポロビール庭園,141.605616,42.866812
恵庭,141.586234,42.883076
恵み野,141.574429,42.902704
島松,141.573117,42.922504
北広島,141.563115,42.979239
上野幌,141.487317,43.016177
新札幌,141.47237,43.038732
平和,141.437967,43.04695
川端,141.894791,42.914721
滝ノ上,141.97628,42.910244
新夕張,142.03657,42.936611
占冠,142.400078,42.993088
トマム,142.610937,43.055913
勇払,141.727667,42.632805
浜厚真,141.837071,42.606725
浜田浦,141.88362,42.590722
鵡川,141.923892,42.578953
八軒,141.319145,43.085845
新川(北海道),141.323824,43.098604
新琴似,141.335105,43.112928
太平,141.349526,43.12401
百合が原,141.360672,43.131476
篠路,141.364323,43.145152
拓北,141.381013,43.155568
あいの里教育大,141.39842,43.15528
あいの里公園,141.413276,43.161206
ロイズタウン,141.436236,43.179589
太美,141.449066,43.189801
当別,141.513764,43.22208
北海道医療大学,141.54995,43.230925
北一已,142.014721,43.742021
秩父別,141.967757,43.769099
北秩父別,141.960915,43.789375
石狩沼田,141.934266,43.810032
真布,141.906756,43.832965
恵比島,141.88144,43.851296
峠下,141.818879,43.850789
幌糠,141.758418,43.855521
藤山,141.720588,43.88708
大和田(北海道),141.696528,43.913418
留萌,141.651433,43.942848
神楽岡,142.358257,43.745033
緑が丘(北海道),142.365701,43.731074
西御料,142.371507,43.720834
西瑞穂,142.381982,43.70242
西神楽,142.393677,43.682181
西聖和,142.415209,43.669047
千代ケ岡,142.451024,43.643737
北美瑛,142.479594,43.617884
